n,sigma_c,c_mod_T,k,label,certifiable
2491321,0.007217867998406291,76.29999999984071,28023.0,run34,1
2491410,0.007214267505332828,76.3999999998407,28024.0,run34,1
2491499,0.007210667012259364,76.4999999998407,28025.0,run34,1
2491587,0.007288700668141246,75.59999999984069,28026.0,run34,1
2491676,0.0072850973811000586,75.69999999984068,28027.0,run34,1
2491765,0.007281494559720159,75.79999999984068,28028.0,run34,1
2491854,0.007277891738340259,75.89999999984067,28029.0,run34,1
2491943,0.007274289382621646,75.99999999984067,28030.0,run34,1
2492032,0.0072706874925643206,76.09999999984066,28031.0,run34,1
2492121,0.007267085602506995,76.19999999984066,28032.0,run34,1
2492210,0.007263484178110957,76.29999999984065,28033.0,run34,1
2492299,0.007259882753714919,76.39999999984065,28034.0,run34,1
2492388,0.007256281794980168,76.49999999984064,28035.0,run34,1
2492477,0.007252681301906705,76.59999999984063,28036.0,run34,1
2492566,0.0072490808088332415,76.69999999984063,28037.0,run34,1
2492655,0.007245480781421065,76.79999999984062,28038.0,run34,1
2492744,0.007241880754008889,76.89999999984062,28039.0,run34,1
2492833,0.007238281192258,76.99999999984061,28040.0,run34,1
2492922,0.007234682096168399,77.0999999998406,28041.0,run34,1
2493011,0.007231083000078797,77.1999999998406,28042.0,run34,1
2493100,0.007227484369650483,77.2999999998406,28043.0,run34,1
2493189,0.007223885739222169,77.39999999984059,28044.0,run34,1
2493278,0.007220287574455142,77.49999999984058,28045.0,run34,1
2493367,0.007216689875349402,77.59999999984058,28046.0,run34,1
2493456,0.007213092176243663,77.69999999984057,28047.0,run34,1
2493545,0.0072094949427992105,77.79999999984057,28048.0,run34,1
2493634,0.007205897709354758,77.89999999984056,28049.0,run34,1
2493722,0.007283864310011268,76.99999999984055,28050.0,run34,1
2493811,0.0072802642825990915,77.09999999984055,28051.0,run34,1
2493900,0.007276664720848203,77.19999999984054,28052.0,run34,1
2493989,0.007273065159097314,77.29999999984054,28053.0,run34,1
2494078,0.007269466063007712,77.39999999984053,28054.0,run34,1
2494167,0.007265867432579398,77.49999999984053,28055.0,run34,1
2494256,0.007262268802151084,77.59999999984052,28056.0,run34,1
2494345,0.007258670637384057,77.69999999984051,28057.0,run34,1
2494434,0.00725507247261703,77.79999999984051,28058.0,run34,1
2494523,0.0072514747735112906,77.8999999998405,28059.0,run34,1
2494612,0.007247877540066838,77.9999999998405,28060.0,run34,1
2494701,0.007244280306622386,78.09999999984049,28061.0,run34,1
2494790,0.007240683538839221,78.19999999984049,28062.0,run34,1
2494879,0.007237086771056056,78.29999999984048,28063.0,run34,1
2494968,0.007233490468934178,78.39999999984047,28064.0,run34,1
2495057,0.007229894632473588,78.49999999984047,28065.0,run34,1
2495146,0.007226298796012998,78.59999999984046,28066.0,run34,1
2495235,0.007222703425213695,78.69999999984046,28067.0,run34,1
2495324,0.007219108520075679,78.79999999984045,28068.0,run34,1
2495413,0.007215513614937663,78.89999999984045,28069.0,run34,1
2495502,0.007211919175460935,78.99999999984044,28070.0,run34,1
2495591,0.007208324735984206,79.09999999984043,28071.0,run34,1
2495680,0.007204730762168765,79.19999999984043,28072.0,run34,1
2495769,0.007201136788353324,79.29999999984042,28073.0,run34,1
2495858,0.00719754328019917,79.39999999984042,28074.0,run34,1
2495946,0.007275439566001296,78.49999999984041,28075.0,run34,1
2496035,0.007271842798218131,78.5999999998404,28076.0,run34,1
2496124,0.007268246961757541,78.6999999998404,28077.0,run34,1
2496213,0.00726465112529695,78.7999999998404,28078.0,run34,1
2496302,0.007261055754497647,78.89999999984039,28079.0,run34,1
2496391,0.007257460383698344,78.99999999984038,28080.0,run34,1
2496480,0.0072538654785603285,79.09999999984038,28081.0,run34,1
2496569,0.007250270573422313,79.19999999984037,28082.0,run34,1
2496658,0.007246676133945584,79.29999999984037,28083.0,run34,1
2496747,0.007243082160130143,79.39999999984036,28084.0,run34,1
2496836,0.007239488186314702,79.49999999984036,28085.0,run34,1
2496925,0.007235894678160548,79.59999999984035,28086.0,run34,1
2497014,0.007232301635667682,79.69999999984034,28087.0,run34,1
2497103,0.007228708593174815,79.79999999984034,28088.0,run34,1
2497192,0.007225115550681949,79.89999999984033,28089.0,run34,1
2497281,0.007221523439511657,79.99999999984033,28090.0,run34,1
2497370,0.007217931328341365,80.09999999984032,28091.0,run34,1
2497459,0.007214339217171073,80.19999999984032,28092.0,run34,1
2497548,0.007210747571662068,80.29999999984031,28093.0,run34,1
2497637,0.007207156391814351,80.3999999998403,28094.0,run34,1
2497726,0.007203565211966634,80.4999999998403,28095.0,run34,1
2497815,0.007199974497780204,80.59999999984029,28096.0,run34,1
2497904,0.007196384249255061,80.69999999984029,28097.0,run34,1
2497993,0.0071927940007299185,80.79999999984028,28098.0,run34,1
2498081,0.007270622765645385,79.89999999984028,28099.0,run34,1
2498170,0.007267029723152518,79.99999999984027,28100.0,run34,1
2498259,0.007263436680659652,80.09999999984026,28101.0,run34,1
2498348,0.0072598441038280725,80.19999999984026,28102.0,run34,1
2498437,0.007256251992657781,80.29999999984025,28103.0,run34,1
